NAME,DESCRIPTIO,Longitude,Latitude
Guillemard Road Open Space,Besides City Plaza towards Geylang Road,103.892397,1.314551
Thomson Park Estate Interim Park,,103.834035,1.356557
Bangsawan Park,Jalan Bangsawan,103.923838,1.321208
Eastwood Park Playground,Between Eastwood Way and Bedok PCN,103.957616,1.323115
Watten Heights Playground,Along Watten Estate Road,103.808987,1.331703
Taman Permata Park,Along Upper Thomson Road,103.835175,1.350156
Hua Guan Crescent Playground,Located along Hua Guan Crescent,103.78506,1.337011
Siang Kuang Avenue Interim Park,"Siang Kuang Avenue, Sennett Estate",103.87305,1.329721
Somme Road Playground,Along Petain Rd and Kitchener Link,103.858152,1.311484
Stamford Green,Bounded by Canning Rise and Stamford Road; Next to National Museum of Singapore,103.848861,1.295717
King's Drive  Playground,junction of king's road and king's drive,103.806056,1.31911
University Road Park,At the end of University Walk,103.817666,1.325452
Greenleaf View Park Playground,At the end of Greenleaf View,103.788076,1.322288
Chestnut Nature Park,"Located along Chestnut Avenue and is abutting Central Catchment Nature Reserve, stretches along BKE, from Gali Batu Flyover to Dairy Farm Flyover.
PUB Waterworks is situated at the end of Chestnut Avenue, demarking the access road across the middle of Ch",103.780837,1.370972
